timestamp_ms,enc0,enc1,enc2,enc3
43.550,0,1,1,0
43.600,0,1,0,0
43.650,0,1,0,0
43.700,0,1,0,0
43.750,0,1,0,0
43.800,0,1,0,0
43.850,1,1,0,0
43.900,1,1,0,0
43.950,1,0,0,1
44.000,1,0,0,1
44.050,1,0,0,1
44.100,1,0,1,1
44.150,1,0,1,1
44.200,1,0,1,1
44.250,1,0,1,1
44.300,1,0,1,1
44.350,0,0,1,1
44.400,0,1,1,1
44.450,0,1,1,0
44.500,0,1,1,0
44.550,0,1,0,0
44.600,0,1,0,0
44.650,0,1,0,0
44.700,0,1,0,0
44.750,0,1,0,0
44.800,1,1,0,0
44.850,1,0,0,0
44.900,1,0,0,1
44.950,1,0,0,1
45.000,1,0,0,1
45.050,1,0,1,1
45.100,1,0,1,1
45.150,1,0,1,1
45.200,1,0,1,1
45.250,1,0,1,1
45.300,0,0,1,1
45.350,0,1,1,1
45.400,0,1,1,0
45.450,0,1,1,0
45.500,0,1,0,0
45.550,0,1,0,0
45.600,0,1,0,0
45.650,0,1,0,0
45.700,0,1,0,0
45.750,1,0,0,0
45.800,1,0,0,0
45.850,1,0,0,1
45.900,1,0,0,1
45.950,1,0,0,1
46.000,1,0,1,1
46.050,1,0,1,1
46.100,1,0,1,1
46.150,1,0,1,1
46.200,1,0,1,1
46.250,0,1,1,1
46.300,0,1,1,1
46.350,0,1,1,0
46.400,0,1,1,0
46.450,0,1,0,0
46.500,0,1,0,0
46.550,0,1,0,0
46.600,0,1,0,0
46.650,0,1,0,0
46.700,1,0,0,0
46.750,1,0,0,0
46.800,1,0,0,0
46.850,1,0,0,1
46.900,1,0,0,1
46.950,1,0,1,1
47.000,1,0,1,1
47.050,1,0,1,1
47.100,1,0,1,1
47.150,1,0,1,1
47.200,0,1,1,1
47.250,0,1,1,1
47.300,0,1,1,0
47.350,0,1,1,0
47.400,0,1,0,0
47.450,0,1,0,0
47.500,0,1,0,0
47.550,0,1,0,0
47.600,0,1,0,0
47.650,1,0,0,0
47.700,1,0,0,0
47.750,1,0,0,0
47.800,1,0,0,1
47.850,1,0,0,1
47.900,1,0,1,1
47.950,1,0,1,1
48.000,1,0,1,1
48.050,1,0,1,1
48.100,1,1,1,1
48.150,0,1,1,1
48.200,0,1,1,1
48.250,0,1,1,0
48.300,0,1,1,0
48.350,0,1,0,0
48.400,0,1,0,0
48.450,0,1,0,0
48.500,0,1,0,0
48.550,0,1,0,0
48.600,1,0,0,0
48.650,1,0,0,0
48.700,1,0,0,0
48.750,1,0,0,1
48.800,1,0,0,1
48.850,1,0,1,1
48.900,1,0,1,1
48.950,1,0,1,1
49.000,1,0,1,1
49.050,1,1,1,1
49.100,0,1,1,1
49.150,0,1,1,1
49.200,0,1,1,0
49.250,0,1,1,0
49.300,0,1,0,0
49.350,0,1,0,0
49.400,0,1,0,0
49.450,0,1,0,0
49.500,0,0,0,0
49.550,0,0,0,0
49.600,1,0,0,0
49.650,1,0,0,0
49.700,1,0,0,1
49.750,1,0,0,1
49.800,1,0,1,1
49.850,1,0,1,1
49.900,1,0,1,1
49.950,1,0,1,1
50.000,1,1,1,1
50.050,0,1,1,1
50.100,0,1,1,1
50.150,0,1,1,0
50.200,0,1,1,0
50.250,0,1,0,0
50.300,0,1,0,0
50.350,0,1,0,0
50.400,0,1,0,0
50.450,0,0,0,0
50.500,0,0,0,0
50.550,1,0,0,0
50.600,1,0,0,0
50.650,1,0,0,1
50.700,1,0,0,1
50.750,1,0,1,1
50.800,1,0,1,1
50.850,1,0,1,1
50.900,1,0,1,1
50.950,1,1,1,1
51.000,0,1,1,1
51.050,0,1,1,1
51.100,0,1,1,0
51.150,0,1,1,0
51.200,0,1,0,0
51.250,0,1,0,0
51.300,0,1,0,0
51.350,0,1,0,0
51.400,0,0,0,0
51.450,0,0,0,0
51.500,1,0,0,0
51.550,1,0,0,0
51.600,1,0,0,1
51.650,1,0,1,1
51.700,1,0,1,1
51.750,1,0,1,1
51.800,1,0,1,1
51.850,1,1,1,1
51.900,1,1,1,1
51.950,0,1,1,1
52.000,0,1,1,1
52.050,0,1,1,0
52.100,0,1,1,0
52.150,0,1,0,0
52.200,0,1,0,0
52.250,0,1,0,0
52.300,0,0,0,0
52.350,0,0,0,0
52.400,0,0,0,0
52.450,1,0,0,0
52.500,1,0,0,0
52.550,1,0,0,1
52.600,1,0,1,1
52.650,1,0,1,1
52.700,1,0,1,1
52.750,1,0,1,1
52.800,1,1,1,1
52.850,1,1,1,1
52.900,0,1,1,1
52.950,0,1,1,1
53.000,0,1,1,0
53.050,0,1,0,0
53.100,0,1,0,0
53.150,0,1,0,0
53.200,0,1,0,0
53.250,0,0,0,0
53.300,0,0,0,0
53.350,0,0,0,0
53.400,1,0,0,0
53.450,1,0,0,0
53.500,1,0,0,1
53.550,1,0,1,1
53.600,1,0,1,1
53.650,1,0,1,1
53.700,1,0,1,1
53.750,1,1,1,1
53.800,1,1,1,1
53.850,0,1,1,1
53.900,0,1,1,1
53.950,0,1,1,0
54.000,0,1,0,0
54.050,0,1,0,0
54.100,0,1,0,0
54.150,0,1,0,0
54.200,0,0,0,0
54.250,0,0,0,0
54.300,0,0,0,0
54.350,1,0,0,0
54.400,1,0,0,1
54.450,1,0,0,1
54.500,1,0,1,1
54.550,1,0,1,1
54.600,1,0,1,1
54.650,1,1,1,1
54.700,1,1,1,1
54.750,1,1,1,1
54.800,0,1,1,1
54.850,0,1,1,1
54.900,0,1,1,0
54.950,0,1,0,0
55.000,0,1,0,0
55.050,0,1,0,0
55.100,0,0,0,0
55.150,0,0,0,0
55.200,0,0,0,0
55.250,0,0,0,0
55.300,1,0,0,0
55.350,1,0,0,1
55.400,1,0,0,1
55.450,1,0,1,1
55.500,1,0,1,1
55.550,1,0,1,1
55.600,1,1,1,1
55.650,1,1,1,1
55.700,1,1,1,1
55.750,0,1,1,1
55.800,0,1,1,0
55.850,0,1,1,0
55.900,0,1,0,0
55.950,0,1,0,0
56.000,0,1,0,0
56.050,0,0,0,0
56.100,0,0,0,0
56.150,0,0,0,0
56.200,0,0,0,0
56.250,1,0,0,0
56.300,1,0,0,1
56.350,1,0,0,1
56.400,1,0,1,1
56.450,1,0,1,1
56.500,1,1,1,1
56.550,1,1,1,1
56.600,1,1,1,1
56.650,1,1,1,1
56.700,0,1,1,1
56.750,0,1,1,0
56.800,0,1,1,0
56.850,0,1,0,0
56.900,0,1,0,0
56.950,0,0,0,0
57.000,0,0,0,0
57.050,0,0,0,0
57.100,0,0,0,0
57.150,0,0,0,0
57.200,1,0,0,0
57.250,1,0,0,1
57.300,1,0,0,1
57.350,1,0,1,1
57.400,1,0,1,1
57.450,1,1,1,1
57.500,1,1,1,1
57.550,1,1,1,1
57.600,1,1,1,1
57.650,0,1,1,1
57.700,0,1,1,0
57.750,0,1,1,0
57.800,0,1,0,0
57.850,0,1,0,0
